title,link,image,price,pistol_grip,stripped_lower,stock,buffer_tube_assembly,trigger,stripped_upper,barrel,handguard,gas_tube,gas_block,bolt_carrier_group,charging_handle
Lead Star Arms Ravage AR-15 Skeletonized Pistol Grip,https://palmettostatearmory.com/lead-star-arms-ravage-ar-15-skeletonized-pistol-grip.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/l/e/lead-star-arms-ravage-ar15-skeletonized-pistol-grip-blk-lsa-ter63j87.jpg,$117.56,True,False,False,False,False,False,False,False,False,False,False,False
Magpul MOE+ AR15/M4 Grip - MAG416,https://palmettostatearmory.com/magpul-moe-ar15-m4-grip-mag416.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag416.jpg,$22.75,True,False,False,False,False,False,False,False,False,False,False,False
ERGO Enhanced AR15/M16 Grip-Suregrip-Ambi-Black - 4011-BK,https://palmettostatearmory.com/ergo-enhanced-ar15-m16-grip-suregrip-ambi-black-4011-bk.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/4/0/4011.bk.jpg,$21.55,True,False,False,False,False,False,False,False,False,False,False,False
Magpul MOE K2 AR15/M4 Grip - MAG532,https://palmettostatearmory.com/magpul-moe-k2-grip-mag532.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag532_fde_1.jpg,$23.70,True,False,False,False,False,False,False,False,False,False,False,False
Magpul MOE-K2 Grip (AR15/M4)- Mag522,https://palmettostatearmory.com/magpul-moe-k2-grip-ar15-m4-mag522.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/g/e/getimage_18_blk.png,$19.90,True,False,False,False,False,False,False,False,False,False,False,False
Magpul MOE Grip (AR15/M16)- Mag415,https://palmettostatearmory.com/magpul-moe-grip-ar15-m16-mag415.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag415.jpg,$18.95,True,False,False,False,False,False,False,False,False,False,False,False
Magpul MOE-K Grip (AR-15/M4) - Mag438,https://palmettostatearmory.com/magpul-moe-k-grip-mag438.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/g/e/getimage_blk2_1.png,$18.95,True,False,False,False,False,False,False,False,False,False,False,False
"Hogue AR Platform OverMolded Beavertail Rubber Grip with Finger Grooves, Flat Dark Earth – 15023",https://palmettostatearmory.com/hogue-ar-platform-overmolded-beavertail-rubber-grip-with-finger-grooves-flat-dark-earth-15023.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/1/3/1362149166.800x800.jpg,$23.96,True,False,False,False,False,False,False,False,False,False,False,False
ERGO HEAVY TEXTURE AR15/M16 Grip Kit SUREGRIP-Ambi-Black - 4009-BK,https://palmettostatearmory.com/ergo-heavy-texture-ar15-m16-grip-kit-suregrip-ambi-black-4009-bk.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/4/0/4009.blk.jpg,$21.55,True,False,False,False,False,False,False,False,False,False,False,False
TImber Creek Enforcer AR Pistol Grip - E ARPG,https://palmettostatearmory.com/timber-creek-enforcer-ar-pistol-grip.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/5/1/516446946_1.jpg,$79.99,True,False,False,False,False,False,False,False,False,False,False,False
"Magpul MIAD GEN 1.1 Grip Kit, Type 1 (AR15/M4)- Mag520",https://palmettostatearmory.com/magpul-miad-gen-1-1-grip-kit-ar15-m4-mag520.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/g/e/getimage_6__2.png,$35.99,True,False,False,False,False,False,False,False,False,False,False,False
Magpul MOE SL Grip (AR15/M4)- Mag539,https://palmettostatearmory.com/magpul-moe-sl-grip-ar15-m4-mag539.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/p/h/photo_2_1_2_1.jpg,$18.95,True,False,False,False,False,False,False,False,False,False,False,False
"Magpul MIAD Gen 1.1 Grip Kit, Type 2 - MAG521",https://palmettostatearmory.com/magpul-miad-gen-1-1-grip-kit-type2-mag521.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag521_odg_1.jpg,$34.15,True,False,False,False,False,False,False,False,False,False,False,False
"Hogue AR Platform OverMolded Grip, OD Green W/ Finger Grooves",https://palmettostatearmory.com/ar-platform-overmolded-grip-od-green-w-finger-grooves.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/1/5/15001.jpg,$23.96,True,False,False,False,False,False,False,False,False,False,False,False
Magpul STR Carbine Stock (Mil-Spec) - MAG470,https://palmettostatearmory.com/magpul-str-carbine-stock-mil-spec-mag470.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/magpul_str_carbine_stock_mil-spec.jpg,$75.95,False,False,True,False,False,False,False,False,False,False,False,False
"Magpul MOE Fixed Carbine Stock, MIL-SPEC - MAG480",https://palmettostatearmory.com/magpul-moe-fixed-carbine-stock-milspec-mag480.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag480_black_1.jpg,$28.45,False,False,True,False,False,False,False,False,False,False,False,False
Magpul PRS Gen3 Precision Adjustable Stock - MAG672,https://palmettostatearmory.com/magpul-prs-gen3-precision-adjustable-stock.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag672-black_1.jpg,$242.20,False,False,True,False,False,False,False,False,False,False,False,False
Magpul MOE SL-S Mil-Spec Carbine Stock - MAG653,https://palmettostatearmory.com/magpul-moe-sl-s-mil-spec-carbine-stock-mag653.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag653-blk_1.jpg,$75.95,False,False,True,False,False,False,False,False,False,False,False,False
Magpul ACS-L Carbine Stock (Mil-Spec)- Mag378,https://palmettostatearmory.com/magpul-acs-l-carbine-stock-mil-spec-mag378.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag378.blk.jpg,$75.95,False,False,True,False,False,False,False,False,False,False,False,False
Magpul UBR Gen2 Collapsible Stock - MAG482,https://palmettostatearmory.com/magpul-ubr-gen2-collapsible-stock.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/m/a/mag482-black_1.jpg,$189.95,False,False,True,False,False,False,False,False,False,False,False,False
Magpul ACS Carbine Stock (Mil-Spec)- Mag370,https://palmettostatearmory.com/magpul-acs-carbine-stock-mil-spec-mag370.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/k/p/kpc_4487_2_1.jpg,$85.45,False,False,True,False,False,False,False,False,False,False,False,False
B5 Systems SOPMOD Bravo Stock - Flat Dark Earth BRV-202-01,https://palmettostatearmory.com/b5-systems-sopmod-bravo-stock-flat-dark-earth.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/k/p/kpc_4557_1.jpg,$58.00,False,False,True,False,False,False,False,False,False,False,False,False
Magpul MOE Rifle Stock- Mag404,https://palmettostatearmory.com/magpul-moe-rifle-stock-mag404.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/k/p/kpc_4517_1_1.jpg,$66.45,False,False,True,False,False,False,False,False,False,False,False,False
Magpul MOE Carbine Stock (Mil-Spec) - Mag400,https://palmettostatearmory.com/magpul-moe-carbine-stock-mil-spec-mag400.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/k/p/kpc_4515_2_1.jpg,$37.95,False,False,True,False,False,False,False,False,False,False,False,False
B5 Systems SOPMOD Bravo Stock - OD Green BRV-205-01,https://palmettostatearmory.com/b5-systems-sopmod-bravo-stock-od-green.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/b/r/bravo_od.jpg,$58.00,False,False,True,False,False,False,False,False,False,False,False,False
"Armaspec XPDW Gen 2 Mil Spec 5 Position Adjustable Stock, Black - ARM235-BLK",https://palmettostatearmory.com/armaspec-xpdw-gen-2-mil-spec-5-position-adjustable-stock-black-arm235-blk.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/5/1/5165450551-Armaspec-XPDW-Gen-2-Stock-ARM235-BLK.jpg,$179.99,False,False,True,False,False,False,False,False,False,False,False,False
B5 Systems SOPMOD Bravo Stock - Wolf Grey BRV-206-01,https://palmettostatearmory.com/b5-systems-sopmod-bravo-stock-wolf-grey.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/b/r/bravo_grey_1.jpg,$58.00,False,False,True,False,False,False,False,False,False,False,False,False
"PSA Custom AR 3.5 lbs. Match Grade Single-Stage Drop-In Trigger, Flat - 116055",https://palmettostatearmory.com/psa-custom-ar-3-5-lbs-match-grade-drop-in-trigger-flat-116055.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/1/1/116055.jpg,$149.99,False,False,False,False,True,False,False,False,False,False,False,False
"PSA Custom AR Single-Stage Drop-In Trigger, Curved Bow",https://palmettostatearmory.com/psa-custom-drop-in-ar-single-stage-drop-in-trigger-curved-bow.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/p/s/psa_2995.jpg,$99.95,False,False,False,False,True,False,False,False,False,False,False,False
PSA AR-15 Upgrade Kit with Toolcraft Nickel Boron BCG & PSA Custom Drop-In Flat Trigger - Kit-0447,https://palmettostatearmory.com/psa-ar-15-upgrade-kit-with-toolcraft-nickel-boron-bcg-psa-custom-drop-in-flat-trigger-kit-0447.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/k/i/kit-0447_1.jpg,$229.99,False,False,False,False,True,False,False,False,False,False,False,False
"CMC Drop In Trigger Single Stage Tactical Flat Bow AR-15/AR-10, 3.5lbs - 91503",https://palmettostatearmory.com/cmc-trigger-single-stage-tactical-flat-bow-3-5lbs-91503.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/6/0/60699_1.jpg,$219.99,False,False,False,False,True,False,False,False,False,False,False,False
Geissele Super Semi-Automatic Enhanced (SSA-E) Trigger- 05-160,https://palmettostatearmory.com/geissele-super-semi-automatic-enhanced-trigger.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/i/m/img_4488-ssa-e-trigger_1.jpg,$299.99,False,False,False,False,True,False,False,False,False,False,False,False
"CMC Triggers AR-15 Tactical Single Stage Curved Trigger, Matte Black (3.5lb) - 91501",https://palmettostatearmory.com/cmc-triggers-single-stage-tactical-trigger-curved-bow-3-5-91501.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/c/m/cmc_trigger.jpg,$219.99,False,False,False,False,True,False,False,False,False,False,False,False
CMC Triggers Single Stage Tactical Trigger  -  2-2.5lb Flat - 90503,https://palmettostatearmory.com/cmc-triggers-single-stage-tactical-trigger-2-2-5lb-flat-90503.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/9/0/90503_CMC-Triggers-Single-Stage-Tactical-Trigger-----2-2.5lb-Flat.jpg,$219.99,False,False,False,False,True,False,False,False,False,False,False,False
Geissele Super Semi-Automatic (SSA) Trigger ‒ 05-101,https://palmettostatearmory.com/geissele-super-semi-automatic-trigger.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/s/s/ssa-lg_1.jpg,$299.99,False,False,False,False,True,False,False,False,False,False,False,False
Geissele 2 Stage (G2S) Trigger ‒ 05-145,https://palmettostatearmory.com/geissele-2-stage-g2s-trigger-05-145.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/g/e/geissele-automatics-2-stage-trigger-pi.jpg,$199.99,False,False,False,False,True,False,False,False,False,False,False,False
Franklin Armory BFSIII AR-C1 Binary Trigger - 5550A,https://palmettostatearmory.com/franklin-armory-bfsiii-ar-c1-binary-trigger-5550a.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/5/1/5165492886_franklin_armory_bfsiii_binary_trigger_ar_c1_5550a.jpg,$499.99,False,False,False,False,True,False,False,False,False,False,False,False
PSA 2 Stage Nickel Boron Trigger Assembly,https://palmettostatearmory.com/psa-2-stage-nickel-boron-trigger-assembly1.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/2/-/2-stage_fcg.jpg,$99.99,False,False,False,False,True,False,False,False,False,False,False,False
Geissele Super Dynamic Enhanced (SD-E) Trigger ‒ 05-167,https://palmettostatearmory.com/geissele-super-dynamic-enhanced-sd-e-trigger-05-167.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/s/u/super-dynamic-enhanced-gun-trigger-pi.jpg,$299.99,False,False,False,False,True,False,False,False,False,False,False,False
Timney AR-15 Small Pin Solid 3 lb. Competition Trigger - 667S,https://palmettostatearmory.com/timney-ar-15-small-pin-solid-3-lb-competition-trigger-667s.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/5/1/5165451291-Timney-AR15-Small-Pin-Competition-Trigger-667S.jpg,$249.99,False,False,False,False,True,False,False,False,False,False,False,False
Geissele Super Dynamic Combat (SD-C) Trigger ‒ 05-165,https://palmettostatearmory.com/geissele-super-dynamic-combat-sd-c-trigger-05-165.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/s/u/super-dynamic-combat-gun-trigger-pi.jpg,$299.99,False,False,False,False,True,False,False,False,False,False,False,False
